runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance
0,9/27/2024 15:37,resnet18,390,probmask,mnistcifar,50,46.67017198,0.615100015,0.644999986,0.590800007,0.534000004,0.853515625,21.61200905,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:36,resnet18,390,probmask,mnistcifar,50,46.97605896,0.623500011,0.625000004,0.654000025,0.601000004,0.853515625,20.39209366,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:36,resnet18,390,probmask,mnistcifar,50,44.04436278,0.613100013,0.618000008,0.654900024,0.564,0.853515625,21.4607811,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:35,resnet18,390,probmask,mnistcifar,50,45.25149488,0.605100006,0.657000027,0.642500014,0.580000001,0.853515625,22.15073013,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:34,resnet18,390,probmask,mnistcifar,50,47.05273294,0.62420001,0.614000019,0.560300008,0.552000015,0.853515625,20.86708832,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:33,resnet18,390,probmask,mnistcifar,50,46.54665279,0.619000007,0.643000001,0.638600017,0.505999993,0.86328125,20.71723366,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:32,resnet18,390,probmask,mnistcifar,50,47.05918717,0.630000012,0.669000017,0.676400032,0.572000012,0.86328125,22.7185421,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:31,resnet18,390,probmask,mnistcifar,50,42.47956467,0.608200011,0.634000012,0.597500009,0.551000018,0.86328125,20.28662872,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:30,resnet18,390,probmask,mnistcifar,50,46.064955,0.630100013,0.657999994,0.658400023,0.617000008,0.86328125,22.23911667,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:30,resnet18,390,probmask,mnistcifar,50,47.10990024,0.63240001,0.624999989,0.657700026,0.613999987,0.86328125,22.11932564,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:29,resnet18,390,probmask,mnistcifar,50,46.53608274,0.600900011,0.673999996,0.627200011,0.561000015,0.86328125,19.27189636,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:28,resnet18,390,probmask,mnistcifar,50,45.37704802,0.641500016,0.654000008,0.663200027,0.618000005,0.86328125,20.39368248,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:27,resnet18,390,probmask,mnistcifar,50,47.01685572,0.615500003,0.638000011,0.610100008,0.562,0.86328125,21.7048378,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:26,resnet18,390,probmask,mnistcifar,50,46.82809043,0.670200028,0.597000003,0.67860003,0.596000013,0.86328125,22.36496735,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:25,resnet18,390,probmask,mnistcifar,50,46.87010646,0.628900009,0.634999999,0.533300012,0.500999993,0.86328125,19.88053894,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:24,resnet18,390,probmask,mnistcifar,50,46.49614477,0.656500016,0.639000012,0.680400036,0.611999993,0.873046875,20.70234108,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:23,resnet18,390,probmask,mnistcifar,50,43.27732491,0.633900013,0.634000002,0.615100008,0.632999998,0.873046875,19.80114937,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:23,resnet18,390,probmask,mnistcifar,50,45.43354321,0.624200011,0.633000003,0.656300021,0.618000011,0.873046875,21.3661232,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:22,resnet18,390,probmask,mnistcifar,50,42.63129592,0.621900017,0.607999985,0.512600013,0.494999996,0.873046875,19.35492516,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:21,resnet18,390,probmask,mnistcifar,50,42.86870742,0.649500015,0.656000026,0.68410003,0.556,0.873046875,21.86729813,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:20,resnet18,390,probmask,mnistcifar,50,47.00065017,0.632900006,0.622000003,0.643100013,0.57500002,0.873046875,21.46295547,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:19,resnet18,390,probmask,mnistcifar,50,46.94530725,0.625400013,0.639000026,0.677700022,0.535000006,0.873046875,21.19768906,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:18,resnet18,390,probmask,mnistcifar,50,42.72068739,0.655100018,0.619999985,0.640700019,0.602000002,0.873046875,21.20495033,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:17,resnet18,390,probmask,mnistcifar,50,46.27700567,0.640100013,0.624000019,0.640100013,0.624000019,0.873046875,21.75069046,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:17,resnet18,390,probmask,mnistcifar,50,45.2220583,0.626800009,0.667000012,0.602100007,0.596999994,0.873046875,21.77031708,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 15:16,resnet18,390,probmask,mnistcifar,50,46.51786494,0.60720001,0.666000017,0.687100032,0.578000017,0.8828125,21.73080826,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
